study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	1.247319960682049e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	1.4032349557673054e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	1.637107448395188e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	1.7618393255096933e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	1.699473684336692e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	2.1048524336509564e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	2.588189275276356e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	2.7596955319627348e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	3.196257399247753e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	3.445721748245249e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	1.4811924533099317e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	1.6526993047648165e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	1.8086142998500725e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	1.9957118181375763e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	2.120444290020588e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	2.2607674287362127e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	2.4478655417922224e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	2.9156105270479908e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	3.21184925561736e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	3.3989467739048756e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	4.33443704180067e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	1.6059243304244373e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	1.730656802307446e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	1.824205561451198e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.13603555162171e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.2607674287362127e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.3075418083080886e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.3075418083080886e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.5102317777337265e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.7908786499334882e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	2.931201788649113e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	3.0871167837343575e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	1.340869314594304e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	1.4500093353391813e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	1.57474180722219e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	1.6215161867940655e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	1.9489374385657e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	2.073669315680206e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	2.1516268132228323e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	2.1984017875632142e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	2.3854993058507183e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	2.6193717984786006e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	3.149483019675858e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	7.95166831795909e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	8.575324729689073e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	8.887155909396609e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	9.978562064530411e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.044630586024917e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.1537712015382971e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.2005455811101732e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.2629118170516775e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.3252774582246758e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.4967843096795603e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	1.886571797392702e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	2.962387285693888e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	2.962387285693888e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	3.897874877131388e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	3.897874877131388e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	3.897874877131388e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	4.521537236546431e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	4.521537236546431e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	4.521537236546431e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	5.612943391680233e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	5.45702482798395e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	5.768856007691486e-06			individual data	mole/meter^3
