study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	7.172093342532794e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	9.198987089104116e-06			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	1.0602218476260393e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	1.0758137039956676e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	1.2317286990809238e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	1.590333068823312e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	1.683881827967064e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	2.0113036745072048e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	2.120444290020588e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	2.369908044249593e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	2.931201788649113e-05			individual data	mole/meter^3
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	9.822643500834126e-06			individual data	mole/meter^3
